timestamp, frame, x, y, z, qx, qy, qz, qw
465185.988532625, 000046, -2.9325342, 0.8240178, -1.6845287, 0.5285911, 0.068542615, -0.84509486, 0.041327454
465186.021879875, 000047, -2.9404058, 0.8240349, -1.6840557, 0.5271974, 0.06893527, -0.84593755, 0.041236896
465186.055226875, 000048, -2.9490154, 0.8238327, -1.6830238, 0.5267905, 0.06907918, -0.8461514, 0.04180278
465186.088574083, 000049, -2.9578974, 0.8234846, -1.6814946, 0.52604747, 0.069146015, -0.8465787, 0.042394485
465186.121921125, 000050, -2.9671056, 0.8234157, -1.6798583, 0.52334714, 0.069997504, -0.8481357, 0.043287512
465186.155268166, 000051, -2.9765358, 0.823488, -1.6778616, 0.5202857, 0.07013459, -0.84998953, 0.043607723
465186.18861525, 000052, -2.9865627, 0.82309437, -1.6755182, 0.5194168, 0.07011086, -0.8505644, 0.04278814
465186.221962416, 000053, -2.9969757, 0.8225555, -1.6722139, 0.5196109, 0.06967683, -0.8505158, 0.04210157
465186.255309583, 000054, -3.0078914, 0.8219588, -1.6682535, 0.51945734, 0.06907909, -0.8506568, 0.042131405
465186.288656583, 000055, -3.0193038, 0.82113856, -1.6635604, 0.5196243, 0.068498895, -0.85059446, 0.042275652
465186.322003708, 000056, -3.0311406, 0.8201436, -1.658624, 0.51959354, 0.06799847, -0.8506556, 0.04223149
465186.35535075, 000057, -3.0433404, 0.8188595, -1.6534003, 0.51918566, 0.06860392, -0.85088426, 0.04166066
465186.388697916, 000058, -3.0565767, 0.81766987, -1.647783, 0.5195396, 0.06932348, -0.85065883, 0.04064901
465186.422044916, 000059, -3.0698934, 0.8163826, -1.6415613, 0.5203942, 0.06953343, -0.850161, 0.039762717
465186.455392083, 000060, -3.0834074, 0.81506467, -1.634826, 0.520354, 0.06999815, -0.8501615, 0.039463196
465186.488739166, 000061, -3.097754, 0.81396765, -1.6280808, 0.51960766, 0.071490176, -0.85048133, 0.039730173
465186.522086291, 000062, -3.1126027, 0.81310785, -1.6201576, 0.519156, 0.07342695, -0.85057765, 0.040040527
465186.555433458, 000063, -3.1278186, 0.81270266, -1.6113927, 0.5194302, 0.07473391, -0.8502902, 0.040169355
